Ticker,Volatility,Max_Drawdown,Category,Risk_Level,Capital_Safety
RELIANCE,0.1995,-0.1807,Growth (Moderate),Medium,Medium
TCS,0.2188,-0.3448,Growth (Moderate),Medium,Medium
HDFCBANK,0.1883,-0.2778,Growth (Moderate),Medium,Medium
ICICIBANK,0.1788,-0.1837,Conservative (Blue Chip),Very Low,High
INFY,0.2553,-0.352,Growth (Moderate),Medium,Medium
HINDUNILVR,0.201,-0.2318,Growth (Moderate),Medium,Medium
ITC,0.19,-0.3246,Growth (Moderate),Medium,Medium
SBIN,0.2216,-0.2211,Growth (Moderate),Medium,Medium
BHARTIARTL,0.1936,-0.1877,Growth (Moderate),Medium,Medium
KOTAKBANK,0.2108,-0.2065,Growth (Moderate),Medium,Medium
LT,0.2428,-0.2435,Growth (Moderate),Medium,Medium
AXISBANK,0.2337,-0.1723,Growth (Moderate),Medium,Medium
ASIANPAINT,0.2368,-0.2854,Growth (Moderate),Medium,Medium
MARUTI,0.2295,-0.2883,Growth (Moderate),Medium,Medium
TITAN,0.2282,-0.1127,Growth (Moderate),Medium,Medium
BAJFINANCE,0.2867,-0.2674,Growth (Moderate),Medium,Medium
SUNPHARMA,0.1971,-0.1323,Growth (Moderate),Medium,Medium
ADANIENT,0.3359,-0.3428,Aggressive (Volatile),High,Low
TATASTEEL,0.2669,-0.1485,Growth (Moderate),Medium,Medium
M&M,0.2692,-0.2291,Growth (Moderate),Medium,Medium
POWERGRID,0.1979,-0.1382,Growth (Moderate),Medium,Medium
NTPC,0.1783,-0.0791,Conservative (Blue Chip),Very Low,High
HCLTECH,0.2469,-0.3377,Growth (Moderate),Medium,Medium
ONGC,0.2185,-0.0944,Growth (Moderate),Medium,Medium
ADANIPORTS,0.2724,-0.1698,Growth (Moderate),Medium,Medium
WIPRO,0.2305,-0.2945,Growth (Moderate),Medium,Medium
COALINDIA,0.215,-0.1027,Growth (Moderate),Medium,Medium
JSWSTEEL,0.2341,-0.1335,Growth (Moderate),Medium,Medium
ULTRACEMCO,0.2229,-0.2061,Growth (Moderate),Medium,Medium
GRASIM,0.2194,-0.1445,Growth (Moderate),Medium,Medium
BAJAJFINSV,0.2204,-0.2503,Growth (Moderate),Medium,Medium
HINDALCO,0.2646,-0.1795,Growth (Moderate),Medium,Medium
NESTLEIND,0.2033,-0.1196,Growth (Moderate),Medium,Medium
TECHM,0.2521,-0.2469,Growth (Moderate),Medium,Medium
SBILIFE,0.1928,-0.1603,Growth (Moderate),Medium,Medium
BRITANNIA,0.2012,-0.1559,Growth (Moderate),Medium,Medium
EICHERMOT,0.2478,-0.1958,Growth (Moderate),Medium,Medium
HDFCLIFE,0.2109,-0.3048,Growth (Moderate),Medium,Medium
ADANIPOWER,0.4211,-0.2215,Aggressive (Volatile),High,Low
INDUSINDBK,0.2824,-0.2199,Growth (Moderate),Medium,Medium
TATACONSUM,0.2161,-0.1631,Growth (Moderate),Medium,Medium
CIPLA,0.2094,-0.2832,Growth (Moderate),Medium,Medium
BPCL,0.2892,-0.3013,Growth (Moderate),Medium,Medium
DRREDDY,0.2308,-0.1454,Growth (Moderate),Medium,Medium
APOLLOHOSP,0.1995,-0.1521,Growth (Moderate),Medium,Medium
DIVISLAB,0.2206,-0.1816,Growth (Moderate),Medium,Medium
BAJAJ-AUTO,0.2202,-0.1337,Growth (Moderate),Medium,Medium
HEROMOTOCO,0.2658,-0.2042,Growth (Moderate),Medium,Medium
HAL,0.2679,-0.3099,Growth (Moderate),Medium,Medium
BEL,0.2539,-0.1563,Growth (Moderate),Medium,Medium
JIOFIN,0.2712,-0.3278,Growth (Moderate),Medium,Medium
PFC,0.27,-0.2076,Growth (Moderate),Medium,Medium
RECLTD,0.2591,-0.2455,Growth (Moderate),Medium,Medium
IRFC,0.2829,-0.3951,Growth (Moderate),Medium,Medium
VBL,0.2896,-0.268,Growth (Moderate),Medium,Medium
TRENT,0.3255,-0.4703,Aggressive (Volatile),High,Low
DLF,0.2739,-0.4232,Growth (Moderate),Medium,Medium
CHOLAFIN,0.3142,-0.2491,Aggressive (Volatile),High,Low
SIEMENS,0.2943,-0.158,Growth (Moderate),Medium,Medium
ABB,0.2775,-0.2437,Growth (Moderate),Medium,Medium
HAVELLS,0.2291,-0.2667,Growth (Moderate),Medium,Medium
TVSMOTOR,0.2578,-0.1667,Growth (Moderate),Medium,Medium
PNB,0.2725,-0.2483,Growth (Moderate),Medium,Medium
CANBK,0.282,-0.2232,Growth (Moderate),Medium,Medium
IDFCFIRSTB,0.3152,-0.3163,Aggressive (Volatile),High,Low
YESBANK,0.2912,-0.2821,Growth (Moderate),Medium,Medium
FEDERALBNK,0.2453,-0.1517,Growth (Moderate),Medium,Medium
BANDHANBNK,0.3668,-0.2791,Aggressive (Volatile),High,Low
LUPIN,0.2053,-0.0994,Growth (Moderate),Medium,Medium
AUROPHARMA,0.2624,-0.1429,Growth (Moderate),Medium,Medium
BIOCON,0.2606,-0.1934,Growth (Moderate),Medium,Medium
PAGEIND,0.2308,-0.3829,Growth (Moderate),Medium,Medium
TATAELXSI,0.2909,-0.4002,Growth (Moderate),Medium,Medium
KPITTECH,0.3272,-0.5523,Aggressive (Volatile),High,Low
PERSISTENT,0.3142,-0.3074,Aggressive (Volatile),High,Low
MPHASIS,0.2755,-0.3177,Growth (Moderate),Medium,Medium
AMBUJACEM,0.2563,-0.3629,Growth (Moderate),Medium,Medium
ACC,0.2109,-0.3732,Growth (Moderate),Medium,Medium
DALBHARAT,0.2648,-0.3094,Growth (Moderate),Medium,Medium
SHREECEM,0.2055,-0.2954,Growth (Moderate),Medium,Medium
POLYCAB,0.2867,-0.2108,Growth (Moderate),Medium,Medium
KEI,0.3039,-0.2335,Aggressive (Volatile),High,Low
CUMMINSIND,0.253,-0.1461,Growth (Moderate),Medium,Medium
BHEL,0.3456,-0.2182,Aggressive (Volatile),High,Low
RVNL,0.3415,-0.4169,Aggressive (Volatile),High,Low
IRCON,0.4061,-0.4701,Aggressive (Volatile),High,Low
PAYTM,0.3604,-0.2989,Aggressive (Volatile),High,Low
NYKAA,0.2831,-0.1637,Growth (Moderate),Medium,Medium
POLICYBZR,0.3233,-0.271,Aggressive (Volatile),High,Low
DELHIVERY,0.2999,-0.2193,Growth (Moderate),Medium,Medium
IDEA,0.4978,-0.2927,Aggressive (Volatile),High,Low
SUZLON,0.33,-0.4466,Aggressive (Volatile),High,Low
NHPC,0.2323,-0.1864,Growth (Moderate),Medium,Medium
SJVN,0.3345,-0.3797,Aggressive (Volatile),High,Low
